date;latinName;englishName;class;color
11-21;In Praesentatione Beatae Mariae Virginis;The Presentation of the Blessed Virgin Mary;III. classis;white
11-22;S. Caeciliae Virginis et Martyris;St. Cecilia, Virgin and Martyr;III. classis;white
11-23;S. Clementis I Papae et Martyris;St. Clement I, Pope and Martyr;III. classis;white
11-23;S. Felicitatis Martyris;St. Felicity, Martyr;IV. classis;red
11-24;S. Joannis a Cruce Confessoris et Ecclesiae Doctoris;St. John of the Cross, Confessor & Doctor;III. classis;white
11-24;S. Chrysogoni Martyris;St. Chrysogonus, Martyr;IV. classis;red
11-25;S. Catharinae Virginis et Martyris;St. Catherine of Alexandria, Virgin and Martyr;III. classis;red
11-26;S. Silvestri Abbatis;St. Sylvester, Abbot;III. classis;white
11-26;S. Petri Alexandrini Martyris;St. Peter Alexandrinus, Bishop, Martyr;IV. classis;red
11-29;S. Saturnini Martyris;St. Saturninus, Martyr;IV. classis;white
11-30;S. Andreae Apostoli;St. Andrew, Apostle;II. classis;red
12-02;S. Bibianae Virginis et Martyris;St. Bibiana, Virgin and Martyr;III. classis;red
12-02;Feria of Advent;Feria of Advent;III. classis;purple
12-03;S. Francisci Xaverii Confessoris;St. Francis Xavier, Confessor;III. classis;white
12-03;Feria of Advent;Feria of Advent;III. classis;purple
12-04;S. Petri Chrysologi Episcopi Confessoris et Ecclesiae Doctoris;St. Peter Chrysologus, Bishop, Confessor & Doctor;III. classis;white
12-05;S. Sabbae Abbatis;St. Sabbas Abbot;IV. classis;white
12-06;S. Nicolai Episcopi et Confessoris;St. Nicholas, Bishop & Confessor;III. classis;white
12-06;Feria of Advent;Feria of Advent;III. classis;purple
12-07;S. Ambrosii Episcopi Confessoris et Ecclesiae Doctoris;St. Ambrose, Bishop Confessor & Doctor;III. classis;white
12-07;Feria of Advent;Feria of Advent;III. classis;purple
12-08;In Conceptione Immaculata Beatae Mariae Virginis;Immaculate Conception of the Blessed Virgin Mary;I. classis;white
12-08;Feria of Advent;Feria of Advent;III. classis;purple
12-10;S. Melchiadis Papae et Martyris;St. Miltiades, Pope & Martyr;IV. classis;red
12-11;S. Damasi Papae et Confessoris;St. Damasus I, Pope & Confessor;III. classis;white
12-12;(USA)Beatae Mariae Virginis de Guadalupe;(USA) Our Lady of Guadalupe;III. classis;white
12-13;S. Luciae Virginis et Martyris;St Lucy, Virgin and Martyr;III. classis;red
12-13;Feria of Advent;Feria of Advent;III. classis;purple
12-16;S. Eusebii Episcopi et Martyris;St. Eusebius, Bishop and Martyr;III. classis;red
12-21;S. Thomae Apostoli;St. Thomas, Apostle;II. classis;red
12-24;In Vigilia Nativitatis Domini;Vigil of Christmas;I. classis;purple
12-25;In Nativitate Domini;The Nativity of Our Lord;I. classis;white
12-26;S. Stephani Protomartyris;St. Stephen, Deacon & Protomartyr;II. classis;red
12-26;Dies Octavae Nativitiatis;Day in the Octave of Christmas;II. classis;white
12-27;S. Joannis Apostoli et Evangelistae;St. John the Evangelist, Apostle;II. classis;white
12-27;Dies Octavae Nativitiatis;Day in the Octave of Christmas;II. classis;white
12-28;Ss. Innocentium;Holy Innocents, Martyrs;II. classis;red
12-28;Dies Octavae Nativitiatis;Day in the Octave of Christmas;III. classis;white
12-29;Die quinta post Nativitatem;5th Day in the Octave of Christmas;II. classis;white
12-29;Sancti Thomae Episcopi Cantuariensis et Martyris;St. Thomas Becket;III. classis;white
12-30;Die sexta post Nativitatem;6th Day in the Octave of Christmas;II. classis;white
12-31;Die septima post Nativitatem;7th Day in the Octave of Christmas;II. classis;white
12-31;Sancti Silvestri Papae;St. Sylvester I, Pope;III. classis;white
